type,name,location,description,tags,image_url
hotel,Annapurna base camp,,,,"datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.1.jpeg,datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.10.jpeg,datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.2.jpeg,datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.3.jpeg,datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.4.jpeg,datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.5.jpeg,datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.6.jpeg,datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.7.jpeg,datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.8.jpeg,datasets/project_imgfold/project_images\Annapurna base camp\Annapurna Base Camp (ABC) 1.9.jpeg"
hotel,Antu Danda,,,,"datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.1.jpeg,datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.10.jpeg,datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.2.jpeg,datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.3.jpeg,datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.4.jpeg,datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.5.jpeg,datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.6.jpeg,datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.7.jpeg,datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.8.jpeg,datasets/project_imgfold/project_images\Antu Danda\Antu Danda 1.9.jpeg"
hotel,Api Himal Base,,,,"datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.1.jpeg,datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.10.jpeg,datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.2.jpeg,datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.3.jpeg,datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.4.jpeg,datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.5.jpeg,datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.6.jpeg,datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.7.jpeg,datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.8.jpeg,datasets/project_imgfold/project_images\Api Himal Base\Api Himal Base Camp 1.9.jpeg"
hotel,Api Nampa Conservation,,,,"datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.1.jpeg,datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.10.jpeg,datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.2.jpeg,datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.3.jpeg,datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.4.jpeg,datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.5.jpeg,datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.6.jpeg,datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.7.jpeg,datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.8.jpeg,datasets/project_imgfold/project_images\Api Nampa Conservation\Api Nampa Conservation Area 1.9.jpeg"
hotel,Archale,,,,"datasets/project_imgfold/project_images\Archale\download (1).jpeg,datasets/project_imgfold/project_images\Archale\download (2).jpeg,datasets/project_imgfold/project_images\Archale\download (3).jpeg,datasets/project_imgfold/project_images\Archale\download (5).jpeg,datasets/project_imgfold/project_images\Archale\download.jpeg"
hotel,Arghakhanchi,,,,"datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.1.jpeg,datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.10.jpeg,datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.2.jpeg,datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.3.png,datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.4.jpeg,datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.5.jpeg,datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.6.jpeg,datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.7.jpeg,datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.8.jpeg,datasets/project_imgfold/project_images\Arghakhanchi\Arghakhanchi 1.9.jpeg"
hotel,Arje,,,,"datasets/project_imgfold/project_images\Arje\download (1).jpeg,datasets/project_imgfold/project_images\Arje\download (2).jpeg,datasets/project_imgfold/project_images\Arje\download (3).jpeg,datasets/project_imgfold/project_images\Arje\download (5).jpeg,datasets/project_imgfold/project_images\Arje\download.jpeg"
hotel,Arjunchaupari,,,,"datasets/project_imgfold/project_images\Arjunchaupari\download (1).jpeg,datasets/project_imgfold/project_images\Arjunchaupari\download (2).jpeg,datasets/project_imgfold/project_images\Arjunchaupari\download (3).jpeg,datasets/project_imgfold/project_images\Arjunchaupari\download (4).jpeg,datasets/project_imgfold/project_images\Arjunchaupari\download.jpeg"
hotel,Arthar Dandakharka,,,,"datasets/project_imgfold/project_images\Arthar Dandakharka\download (1).jpeg,datasets/project_imgfold/project_images\Arthar Dandakharka\download (2).jpeg,datasets/project_imgfold/project_images\Arthar Dandakharka\download (3).jpeg,datasets/project_imgfold/project_images\Arthar Dandakharka\download (4).jpeg,datasets/project_imgfold/project_images\Arthar Dandakharka\download.jpeg"
hotel,Ashapuri Mahadev,,,,"datasets/project_imgfold/project_images\Ashapuri Mahadev\download (1).jpeg,datasets/project_imgfold/project_images\Ashapuri Mahadev\download (2).jpeg,datasets/project_imgfold/project_images\Ashapuri Mahadev\download (3).jpeg,datasets/project_imgfold/project_images\Ashapuri Mahadev\download (5).jpeg,datasets/project_imgfold/project_images\Ashapuri Mahadev\download.jpeg"
hotel,Asrang,,,,"datasets/project_imgfold/project_images\Asrang\download (1).jpeg,datasets/project_imgfold/project_images\Asrang\download (2).jpeg,datasets/project_imgfold/project_images\Asrang\download (3).jpeg,datasets/project_imgfold/project_images\Asrang\download (5).jpeg,datasets/project_imgfold/project_images\Asrang\download.jpeg"
hotel,Attarpur,,,,"datasets/project_imgfold/project_images\Attarpur\download (1).jpeg,datasets/project_imgfold/project_images\Attarpur\download (2).jpeg,datasets/project_imgfold/project_images\Attarpur\download (3).jpeg,datasets/project_imgfold/project_images\Attarpur\download (5).jpeg,datasets/project_imgfold/project_images\Attarpur\download.jpeg"
hotel,Australian Camp,,,,"datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.1.jpeg,datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.10.jpeg,datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.2.jpeg,datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.3.jpeg,datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.4.jpeg,datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.5.jpeg,datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.6.jpeg,datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.7.jpeg,datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.8.jpeg,datasets/project_imgfold/project_images\Australian Camp\Australian Camp 1.9.jpeg"
hotel,Ayurvedic Spas,,,,"datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.1.jpeg,datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.10.jpeg,datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.2.jpeg,datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.3.jpeg,datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.4.jpeg,datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.5.jpeg,datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.6.jpeg,datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.7.jpeg,datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.8.jpeg,datasets/project_imgfold/project_images\Ayurvedic Spas\Ayurvedic Spas (Kathmandu) 1.9.jpeg"
hotel,Baba Taal,,,,"datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.1.jpeg,datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.10.jpeg,datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.2.jpeg,datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.3.jpeg,datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.4.jpeg,datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.5.jpeg,datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.6.jpeg,datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.7.jpeg,datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.8.jpeg,datasets/project_imgfold/project_images\Baba Taal\Baba Taal 1.9.jpeg"
hotel,Babai,,,,"datasets/project_imgfold/project_images\Babai\download (1).jpeg,datasets/project_imgfold/project_images\Babai\download (2).jpeg,datasets/project_imgfold/project_images\Babai\download (3).jpeg,datasets/project_imgfold/project_images\Babai\download (4).jpeg,datasets/project_imgfold/project_images\Babai\download.jpeg"
hotel,Babil Waterfall,,,,"datasets/project_imgfold/project_images\Babil Waterfall\download (1).jpeg,datasets/project_imgfold/project_images\Babil Waterfall\download (2).jpeg,datasets/project_imgfold/project_images\Babil Waterfall\download (3).jpeg,datasets/project_imgfold/project_images\Babil Waterfall\download (4).jpeg,datasets/project_imgfold/project_images\Babil Waterfall\download.jpeg"
hotel,Babiyachaur,,,,"datasets/project_imgfold/project_images\Babiyachaur\download (1).jpeg,datasets/project_imgfold/project_images\Babiyachaur\download (2).jpeg,datasets/project_imgfold/project_images\Babiyachaur\download (3).jpeg,datasets/project_imgfold/project_images\Babiyachaur\download (4).jpeg,datasets/project_imgfold/project_images\Babiyachaur\download.jpeg"
hotel,Babiyachaur myagdi,,,,"datasets/project_imgfold/project_images\Babiyachaur myagdi\download (1).jpeg,datasets/project_imgfold/project_images\Babiyachaur myagdi\download (2).jpeg,datasets/project_imgfold/project_images\Babiyachaur myagdi\download (3).jpeg,datasets/project_imgfold/project_images\Babiyachaur myagdi\download (5).jpeg,datasets/project_imgfold/project_images\Babiyachaur myagdi\download.jpeg"
hotel,Badahara,,,,"datasets/project_imgfold/project_images\Badahara\download (1).jpeg,datasets/project_imgfold/project_images\Badahara\download (2).jpeg,datasets/project_imgfold/project_images\Badahara\download (4).jpeg,datasets/project_imgfold/project_images\Badahara\download.jpeg,datasets/project_imgfold/project_images\Badahara\images.jpeg"
hotel,Badikhel,,,,"datasets/project_imgfold/project_images\Badikhel\download (1).jpeg,datasets/project_imgfold/project_images\Badikhel\download (2).jpeg,datasets/project_imgfold/project_images\Badikhel\download (3).jpeg,datasets/project_imgfold/project_images\Badikhel\download (4).jpeg,datasets/project_imgfold/project_images\Badikhel\download.jpeg"
hotel,Badimalika,,,,"datasets/project_imgfold/project_images\Badimalika\download (1).jpeg,datasets/project_imgfold/project_images\Badimalika\download (2).jpeg,datasets/project_imgfold/project_images\Badimalika\download (3).jpeg,datasets/project_imgfold/project_images\Badimalika\download (5).jpeg,datasets/project_imgfold/project_images\Badimalika\download.jpeg"
hotel,Badimalika Temple,,,,"datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.1.jpeg,datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.10.jpeg,datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.2.jpeg,datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.3.jpeg,datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.4.jpeg,datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.5.jpeg,datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.6.jpeg,datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.7.jpeg,datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.8.jpeg,datasets/project_imgfold/project_images\Badimalika Temple\Badimalika Temple 1.9.jpeg"
hotel,Bagahi,,,,"datasets/project_imgfold/project_images\Bagahi\download (1).jpeg,datasets/project_imgfold/project_images\Bagahi\download (2).jpeg,datasets/project_imgfold/project_images\Bagahi\download (3).jpeg,datasets/project_imgfold/project_images\Bagahi\download (4).jpeg,datasets/project_imgfold/project_images\Bagahi\download.jpeg"
hotel,Bagapati,,,,"datasets/project_imgfold/project_images\Bagapati\download (1).jpeg,datasets/project_imgfold/project_images\Bagapati\download (2).jpeg,datasets/project_imgfold/project_images\Bagapati\download (3).jpeg,datasets/project_imgfold/project_images\Bagapati\download (4).jpeg,datasets/project_imgfold/project_images\Bagapati\download.jpeg"
hotel,Bagh Bhairab Temple,,,,"datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.1.jpeg,datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.10.jpeg,datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.2.jpeg,datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.3.jpeg,datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.4.jpeg,datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.5.jpeg,datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.6.jpeg,datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.7.jpeg,datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.8.jpeg,datasets/project_imgfold/project_images\Bagh Bhairab Temple\Bagh Bhairab Temple 1.9.jpeg"
hotel,Baghkhor,,,,"datasets/project_imgfold/project_images\Baghkhor\download (1).jpeg,datasets/project_imgfold/project_images\Baghkhor\download (2).jpeg,datasets/project_imgfold/project_images\Baghkhor\download (3).jpeg,datasets/project_imgfold/project_images\Baghkhor\download (4).jpeg,datasets/project_imgfold/project_images\Baghkhor\download.jpeg"
hotel,Baglung Bazaar,,,,"datasets/project_imgfold/project_images\Baglung Bazaar\download (1).jpeg,datasets/project_imgfold/project_images\Baglung Bazaar\download (2).jpeg,datasets/project_imgfold/project_images\Baglung Bazaar\download (3).jpeg,datasets/project_imgfold/project_images\Baglung Bazaar\download (5).jpeg,datasets/project_imgfold/project_images\Baglung Bazaar\download.jpeg"
hotel,Bagnas & Rupa Lake,,,,"datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.1.jpeg,datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.10.jpeg,datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.2.jpeg,datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.3.jpeg,datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.4.jpeg,datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.5.jpeg,datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.6.jpeg,datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.7.jpeg,datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.8.jpeg,datasets/project_imgfold/project_images\Bagnas & Rupa Lake\Begnas & Rupa Lake 1.9.jpeg"
hotel,Bahuni,,,,"datasets/project_imgfold/project_images\Bahuni\download (1).jpeg,datasets/project_imgfold/project_images\Bahuni\download (2).jpeg,datasets/project_imgfold/project_images\Bahuni\download (3).jpeg,datasets/project_imgfold/project_images\Bahuni\download (4).jpeg,datasets/project_imgfold/project_images\Bahuni\download.jpeg"
hotel,Bahuwa Madanpur,,,,"datasets/project_imgfold/project_images\Bahuwa Madanpur\download (1).jpeg,datasets/project_imgfold/project_images\Bahuwa Madanpur\download (2).jpeg,datasets/project_imgfold/project_images\Bahuwa Madanpur\download (3).jpeg,datasets/project_imgfold/project_images\Bahuwa Madanpur\download (4).jpeg,datasets/project_imgfold/project_images\Bahuwa Madanpur\download.jpeg"
hotel,Baide,,,,"datasets/project_imgfold/project_images\Baide\download (1).jpeg,datasets/project_imgfold/project_images\Baide\download (2).jpeg,datasets/project_imgfold/project_images\Baide\download (3).jpeg,datasets/project_imgfold/project_images\Baide\download (5).jpeg,datasets/project_imgfold/project_images\Baide\download.jpeg"
hotel,Bairikhel Kavrepalanchok,,,,"datasets/project_imgfold/project_images\Bairikhel Kavrepalanchok\download (1).jpeg,datasets/project_imgfold/project_images\Bairikhel Kavrepalanchok\download (2).jpeg,datasets/project_imgfold/project_images\Bairikhel Kavrepalanchok\download (3).jpeg,datasets/project_imgfold/project_images\Bairikhel Kavrepalanchok\download (5).jpeg,datasets/project_imgfold/project_images\Bairikhel Kavrepalanchok\download.jpeg"
hotel,Baitadi Minor Temple,,,,"datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.1.jpeg,datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.10.jpeg,datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.2.jpeg,datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.3.jpeg,datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.4.jpeg,datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.5.jpeg,datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.6.jpeg,datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.7.jpeg,datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.8.jpeg,datasets/project_imgfold/project_images\Baitadi Minor Temple\Baitadi Minor Temples 1.9.jpeg"
hotel,Bajhang Hidden Stream,,,,"datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.1.jpeg,datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.10.jpeg,datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.2.jpeg,datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.3.jpeg,datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.4.jpeg,datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.5.jpeg,datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.6.jpeg,datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.7.jpeg,datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.8.jpeg,datasets/project_imgfold/project_images\Bajhang Hidden Stream\Bajhang Hidden Stream 1.9.jpeg"
hotel,Bajhang Offbeat Villages,,,,"datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.1.jpeg,datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.10.jpeg,datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.2.jpeg,datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.3.jpeg,datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.4.jpeg,datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.5.jpeg,datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.6.jpeg,datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.7.jpeg,datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.8.jpeg,datasets/project_imgfold/project_images\Bajhang Offbeat Villages\Bajhang Offbeat Villages 1.9.jpeg"
hotel,Bajrabarahi Temple,,,,"datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.1.jpeg,datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.10.jpeg,datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.2.jpeg,datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.3.jpeg,datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.4.jpeg,datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.5.jpeg,datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.6.jpeg,datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.7.jpeg,datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.8.jpeg,datasets/project_imgfold/project_images\Bajrabarahi Temple\Bajrabarahi Temple 1.9.jpeg"
hotel,Bajraha,,,,"datasets/project_imgfold/project_images\Bajraha\download (1).jpeg,datasets/project_imgfold/project_images\Bajraha\download (2).jpeg,datasets/project_imgfold/project_images\Bajraha\download (5).jpeg,datasets/project_imgfold/project_images\Bajraha\download.jpeg,datasets/project_imgfold/project_images\Bajraha\images.jpeg"
hotel,Bajrangi Lake,,,,"datasets/project_imgfold/project_images\Bajrangi Lake\download (1).jpeg,datasets/project_imgfold/project_images\Bajrangi Lake\download (2).jpeg,datasets/project_imgfold/project_images\Bajrangi Lake\download (3).jpeg,datasets/project_imgfold/project_images\Bajrangi Lake\download (5).jpeg,datasets/project_imgfold/project_images\Bajrangi Lake\download.jpeg"
hotel,Bajrayogini Temple,,,,"datasets/project_imgfold/project_images\Bajrayogini Temple\download (1).jpeg,datasets/project_imgfold/project_images\Bajrayogini Temple\download (2).jpeg,datasets/project_imgfold/project_images\Bajrayogini Temple\download (3).jpeg,datasets/project_imgfold/project_images\Bajrayogini Temple\download (4).jpeg,datasets/project_imgfold/project_images\Bajrayogini Temple\download.jpeg"
hotel,Bakdhauwa,,,,"datasets/project_imgfold/project_images\Bakdhauwa\download (1).jpeg,datasets/project_imgfold/project_images\Bakdhauwa\download (2).jpeg,datasets/project_imgfold/project_images\Bakdhauwa\download (5).jpeg,datasets/project_imgfold/project_images\Bakdhauwa\download.jpeg"
hotel,Balarampur,,,,"datasets/project_imgfold/project_images\Balarampur\download (1).jpeg,datasets/project_imgfold/project_images\Balarampur\download (2).jpeg,datasets/project_imgfold/project_images\Balarampur\download (3).jpeg,datasets/project_imgfold/project_images\Balarampur\download (5).jpeg,datasets/project_imgfold/project_images\Balarampur\download.jpeg"
hotel,Balchanpur,,,,"datasets/project_imgfold/project_images\Balchanpur\download (3).jpeg,datasets/project_imgfold/project_images\Balchanpur\images (1).jpeg,datasets/project_imgfold/project_images\Balchanpur\images (2).jpeg,datasets/project_imgfold/project_images\Balchanpur\images (3).jpeg,datasets/project_imgfold/project_images\Balchanpur\images.jpeg"
